"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"KIAA0226";2,71785426206327;2,71811541934737;7,30292558678559;6,05983519470811e-47;8,09957572124686e-43
"MOV10";3,57666380636422;3,57755702959173;6,20316874605199;1,86690242529336e-46;1,24765089082355e-42
"C19orf66";2,71849769483146;2,71895253663132;6,51549408369903;6,21381265252813e-46;2,7684606637897e-42
"NUB1";3,0048125948516;3,00503790629665;7,65546884562652;2,76931322433251e-45;9,25366013910708e-42
"CNP";2,81799200008965;2,8185587572716;6,30674932858973;1,80461694068574e-44;4,82410200584112e-41
"RIN2";3,71052308762524;3,71130763272788;6,68393283375178;6,27636668841887e-44;1,39816528595678e-40
"TTC21A";4,52908416755293;4,53876112980415;3,5903727117267;1,79454578591557e-43;3,18034028873311e-40
"PNPT1";3,88942862363021;3,89036167474314;6,38081664839344;1,90354049901728e-43;3,18034028873311e-40
"BST2";3,11731200752134;3,11742926073276;8,83724199426297;8,97965328740917e-43;1,33357828710568e-39
"SCARB2";2,64438259875957;2,64553592784234;5,16420174425207;4,78783491620276e-42;6,39942014899661e-39
"RNF213";2,93432078131648;2,93439676394058;9,2315911069804;6,71411570117424e-42;7,56233751467931e-39
"GRAMD1B";3,87444436386414;3,87648930161755;5,24096967029526;6,78946956278256e-42;7,56233751467931e-39
"KIAA1958";3,52379890692722;3,53170280679956;3,128493618691;1,50580990284002e-41;1,54820424318152e-38
"LAP3";3,85361878408724;3,85387490365206;8,28866694344838;2,19873090227448e-41;2,0991598028429e-38
"DBF4B";2,67429105223987;2,67764956111574;3,53338739776003;5,08793685756379e-41;4,53369093587984e-38
"SLC27A3";2,92058372728504;2,92138750091974;5,81211951784982;7,04384714968523e-41;5,8842538126683e-38
"ABTB2";4,28813241530703;4,29381076376584;4,015667968253;3,31398271542023e-40;2,60557017495922e-37
"C9orf91";2,75813471613082;2,75898287106772;5,58866758791661;3,86334867756541e-40;2,8687510235744e-37
"TRIM14";2,28772834625484;2,2879315957666;7,4700076936562;6,41062846341621e-40;4,28479392240324e-37
"SEC24D";2,36279205486232;2,36312832366693;6,4768983278351;6,41148275086525e-40;4,28479392240324e-37
"HERC6";3,43756544958738;3,43943261824681;5,44415519162016;1,20873841010633e-39;7,69333218546724e-37
"RGL1";3,4797669523327;3,48691563796344;3,19860298464822;1,27119372241086e-39;7,72307967897434e-37
"UNC93B1";2,50927827693094;2,50943170602927;7,88149067134693;3,81198595682805e-39;2,18149792275287e-36
"HESX1";5,94298039750171;5,97606535456084;3,20063834219881;3,91709936750477e-39;2,18149792275287e-36
"GBP4";3,86459913354277;3,86498203345772;7,65001410861624;5,49930771832281e-39;2,94014987852411e-36
"APOBEC3G";2,28381242666033;2,28411492752856;6,72667384553356;6,79836304342176e-39;3,36963850228692e-36
"ISG20";3,30304894794786;3,30329052544228;7,76449856738541;6,80684120617588e-39;3,36963850228692e-36
"TDRD7";2,9420711420694;2,94379824236864;4,76622026629993;2,78835738199799e-38;1,33104231313518e-35
"PARP12";3,23831523311222;3,23862056870982;7,55565615571265;4,91365577588901e-38;2,26468700346664e-35
"VAMP5";2,81543129399429;2,81643288197224;5,37914634456635;5,6439961947539e-38;2,51458843796936e-35
