"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"IFI27";6,22605984961612;6,22909017260621;7,77928107335615;1,44431338134822e-34;1,93046926551003e-30
"EPHB2";1,8479461378962;1,85559417613688;2,81159363277077;6,92710014890416e-21;4,62938102951265e-17
"CNTNAP3";-2,91126307338081;-2,9153812436333;3,80923848854604;2,23545676660604e-16;9,95970504748546e-13
"CAMK1D";-0,977747776170857;-0,978052177365968;5,49703873567724;9,92330134565774e-15;3,31587114465153e-11
"HERC6";1,59089724499291;1,59227220018814;5,44415519162016;6,660007952282e-14;1,78035332580403e-10
"RTDR1";-2,65097448523868;-2,73750683246185;-0,558866740334687;2,70418782516883e-13;5,88888662975717e-10
"PI3";-2,68036848826659;-2,68141408249764;5,60921742454388;3,08410941256174e-13;5,88888662975717e-10
"AOC3";-1,40495903424238;-1,40893622066024;2,76397781749926;1,01700373887482e-12;1,6991589967251e-09
"EIF3L";-0,892185447903374;-0,892286345253398;6,7536580318041;1,830985418049e-12;2,719216788627e-09
"TSPEAR";-3,05447053608334;-3,17757502111461;-0,0222764533814804;2,23688475232826e-12;2,98982015996195e-09
"LY6E";1,89021774905225;1,89029463995753;9,76788777226777;4,73020882707358e-12;5,74763374387868e-09
"LOC100093631";-1,07193160976973;-1,07309686408505;4,08674234647836;9,19317866836597e-12;1,0239668840115e-08
"CLEC9A";-1,75532901237845;-1,76696738169213;1,15110550623528;1,20892871174279e-11;1,19147632555721e-08
"CTSL1";1,53108301164426;1,53279389051704;4,66688125624759;1,24799256006292e-11;1,19147632555721e-08
"LOC283070";-1,02093079490218;-1,02130222280843;5,20119180416677;1,34518823869916e-11;1,19865239989687e-08
"TP53INP2";-1,54718861148014;-1,55253144756124;2,10037961583832;2,06121959097745e-11;1,72189131581279e-08
"CCNJL";-1,40283625748707;-1,40341259397243;5,18768648255271;2,76072927458857e-11;2,15311187437031e-08
"ORM2";-2,62744011373398;-2,63960586989171;2,32758796457789;2,89959701770654e-11;2,15311187437031e-08
"SPP1";-2,43288015769134;-2,49204148569754;0,135408415868866;4,19275031111925e-11;2,94948950833789e-08
"TNFRSF9";-1,4625631995576;-1,46756017023069;2,0909398173178;5,342439457242e-11;3,43208737968873e-08
"MS4A4A";1,66132017181311;1,66377074244661;4,45559123319991;5,39232642327274e-11;3,43208737968873e-08
"ITGB4";-2,86792851734092;-2,95734658684542;-0,175971107305773;7,00705675677981e-11;4,25710548232358e-08
"ISL2";-1,76184145465018;-1,77068996671914;1,81613900061599;7,85201442023805e-11;4,52556139980949e-08
"PGLYRP1";-1,55226547609237;-1,55292987702725;5,22906333983153;8,12610157080861e-11;4,52556139980949e-08
"XAF1";1,74278237052143;1,74319387728855;7,32774614373294;3,29100324848174e-10;1,75950197676828e-07
"TMX4";-0,78198825403501;-0,782100612875725;6,55304466436004;3,74045503235732e-10;1,92288161394184e-07
"RRM2";1,32955653103865;1,33261192009016;3,03593105702657;3,95062549889042e-10;1,95570594141368e-07
"EMR3";-1,29165468820392;-1,29233421109185;4,7530119735434;4,16143813891204e-10;1,9864922201678e-07
"TOPORS";-1,00552192774293;-1,0059050037607;5,49188905260657;7,08766789730225e-10;3,18557363214065e-07
"DDX60";1,44818580291333;1,44861451127486;6,90952085302592;7,15002311568304e-10;3,18557363214065e-07
"JPH4";1,84142169646802;1,8937028250618;-0,141231859267232;7,75292327988679e-10;3,34276040512796e-07
"CNTNAP3B";-3,08117460063203;-3,35231338797825;-1,02487067647439;8,85907658720012e-10;3,70032555201615e-07
"OAS1";1,59980077036154;1,59997157998463;8,76361763094271;1,36486074462912e-09;5,52233027418176e-07
"LGALS3BP";1,33059931095605;1,33132929566344;5,67416290342356;1,40475257610489e-09;5,52233027418176e-07
"ORM1";-2,03696118789743;-2,04632259928943;2,21766296526139;1,50860928309699e-09;5,76116333653552e-07
"RPS6KA5";-0,971901108550574;-0,972695255496091;4,46471209352549;1,76029750149281e-09;6,28766900979856e-07
"MPZL1";-1,30661087565493;-1,30978811578373;3,27830914556025;1,78420368570809e-09;6,28766900979856e-07
"IFI44";2,01020729600716;2,01041754684482;8,59422976877332;1,78760603301171e-09;6,28766900979856e-07
"PLIN5";-1,27459600030256;-1,27971946999719;2,17377489460084;2,87866805563004e-09;9,86571211065413e-07
"CDH2";-2,25010208212685;-2,32110418969582;-0,407559309612776;3,34224602902847e-09;1,11681151059986e-06
"TCN2";1,50644205368464;1,50887366428429;4,46803011636676;3,83592765246445e-09;1,25051241470341e-06
"RPL4";-0,85551891655919;-0,855526994204411;10,3655287792466;4,34811086989023e-09;1,37664902304545e-06
"C1QC";2,33526648627087;2,37764244541447;1,37038379346427;4,42884243535497e-09;1,37664902304545e-06
"IGF2R";-1,087011843334;-1,08711440091126;7,47276777593081;4,56251494919868e-09;1,38596760934067e-06
"IFI44L";2,29958260853161;2,30038019916587;7,13103238943163;4,94360683657569e-09;1,46836108839268e-06
"LINC00487";2,5707687374672;2,81427866031071;-0,285466788962615;6,5752904171308e-09;1,91055068946457e-06
"AOC2";-1,25411391054332;-1,25602757785221;3,52791450185203;7,36564641486341e-09;2,09466446768222e-06
"SLPI";-1,6150464527688;-1,61643111598263;4,43301490408505;7,87338128220844e-09;2,19240862954162e-06
"FAM70A";1,9348054205729;1,95864230841305;2,24731678147966;1,10568505139298e-08;3,01603804018746e-06
"SLC45A4";-1,17361420064998;-1,17422571743529;4,98174830488941;1,27236814002297e-08;3,33565546906419e-06
"C1QB";1,96224352390744;1,96935808391816;3,34009707453479;1,27276993058712e-08;3,33565546906419e-06
"EPSTI1";1,56783363020418;1,56815969173118;7,68786557572902;1,3617537697709e-08;3,50023093976113e-06
"IL1R2";-1,19894269796696;-1,19927203136081;5,93168536645759;1,4902717204537e-08;3,75829656897815e-06
"SIGLEC1";2,19134367645065;2,1951739016614;4,75280074192564;2,1317281469382e-08;5,27642192814369e-06
"SHISA5";0,89557689136093;0,895604801323229;9,3197496274405;2,69576931543152e-08;6,55120957637413e-06
"CHI3L1";-1,80578698453837;-1,80609013930726;6,54603075157521;2,92235009555291e-08;6,97502346020718e-06
"C2";1,53780598840443;1,54325641766161;3,240155235228;3,09594424040847e-08;7,2597176697017e-06
"EEF1G";-0,831071402368424;-0,831088656058334;9,23795657344757;4,28949776116059e-08;9,88507363373663e-06
"OLFML2B";1,51393135610103;1,5537942767351;-0,0545713244685459;4,77439007851213e-08;1,07043799531517e-05
"CCDC19";-1,33431364088167;-1,33780696414851;2,50699260382719;4,80519824322235e-08;1,07043799531517e-05
"FBXO39";2,10889755841451;2,17229071629711;0,303492458866984;4,90982458784189e-08;1,07581500723106e-05
"MGAM";-1,32865113448583;-1,32882440015397;7,10292018161533;5,65095317421353e-08;1,21823613107319e-05
"EPHB4";-1,10738062087171;-1,10884482578207;3,34795825312372;5,97782195996802e-08;1,26824711614179e-05
"STAC3";1,07740247165975;1,08246397904734;2,48638999172436;6,90304346595791e-08;1,44132841716742e-05
"ICAM3";-1,00169729186898;-1,00189437005498;6,3742472556089;7,00930324075135e-08;1,44132841716742e-05
"KIAA1257";-1,10188595778355;-1,10587038866573;2,10643596064305;8,32552957090283e-08;1,68604588249526e-05
"FAM212B";-0,997122765686255;-0,997479803311886;5,27821216132383;8,63564801651226e-08;1,72274733415974e-05
"SLC8A1";-1,42937257262072;-1,45789913490338;0,405675732371958;8,7659488266708e-08;1,72302458848944e-05
"CCDC153";-1,42923549238583;-1,45087265844307;0,267872917065332;8,92088221417207e-08;1,72806538658875e-05
"NQO2";-1,08395172542563;-1,08448339551346;5,01673001329212;9,3768232043734e-08;1,7904374135665e-05
"DAPK2";-1,0426575284824;-1,04373314224012;3,93797461449878;1,00223665652912e-07;1,88674579593918e-05
"IRS2";-1,06738741129421;-1,06828546522636;3,87921674052063;1,09987789568805e-07;2,04180110468979e-05
"RPGR";-0,831863963317685;-0,832838137303452;3,53893276604215;1,16446050345991e-07;2,13207932729385e-05
"DNAJB5";-1,09803880842022;-1,10426158212938;1,26957698643181;1,41746060971286e-07;2,5602403391111e-05
"TBL1X";-0,822161425635943;-0,822670794344733;4,50438430518735;1,73768841590217e-07;3,09679244892646e-05
"RPS8";-0,885786169865064;-0,885808814164998;8,93717710267592;1,94052175560546e-07;3,41276497176612e-05
"CSNK1A1L";-1,39804686036698;-1,40156669159258;2,85729526835324;2,11792879940503e-07;3,67639432894125e-05
"CA4";-1,49114628722306;-1,49302692243385;3,45903840352646;2,32437661889244e-07;3,9830279343739e-05
"CMPK2";1,61476592955899;1,6152598534325;7,61402832694559;2,38955957155902e-07;4,04289281436176e-05
"METTL7B";2,22841628656517;2,34938644397577;-0,432707480489458;2,46333767131766e-07;4,11562141435398e-05
"TMCC1";-0,835754125112832;-0,836156410945168;5,00053131365169;2,50471317538281e-07;4,13308596323045e-05
"KREMEN1";-1,27865178535479;-1,28024598746917;3,89063884038258;2,6347471233537e-07;4,29463781106653e-05
"NLRP6";-1,11329749759552;-1,11473658111306;3,83102201606815;2,87527340502146e-07;4,63022943753215e-05
"RTP4";1,22287042725679;1,22350102917011;6,1818139923979;3,05850501601548e-07;4,86666405286464e-05
"ISG15";1,8273187922783;1,82739362899653;10,8514667590783;4,03529945472799e-07;6,25594984032925e-05
"TAGLN2";-0,863408713977191;-0,863421527689713;9,98833215845532;4,06330694335047e-07;6,25594984032925e-05
"GPR157";-0,983913864215106;-0,987687642883098;1,76532805624076;4,07203079536619e-07;6,25594984032925e-05
"SORL1";-0,87095310365033;-0,870988711485542;8,58198082895504;4,28316635199294e-07;6,50554562053837e-05
