"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"IFI27";5,08641653434525;5,08939815661096;7,77928107335615;2,64634926651776e-28;3,53711042962764e-24
"EPHB2";1,35105298203298;1,35751073007288;2,81159363277077;2,16561486471662e-12;1,44728041409012e-08
"RRM2";1,44696803550733;1,45017957920531;3,03593105702657;1,12031564088914e-11;4,99137961870806e-08
"LY6E";1,774763126158;1,77483764826798;9,76788777226777;5,95135485754038e-11;1,98864522564712e-07
"BIRC5";1,55374207424389;1,56956157437592;0,745008789491277;1,64791688835166e-10;4,40521142594165e-07
"HIST1H3G";1,39803949385965;1,39898980673444;4,48222020289303;9,96958750324779e-10;2,22089177614017e-06
"IGJ";1,65130195886255;1,65175972308287;5,62027170537103;1,0841615835636e-08;2,07012910370158e-05
"TK1";1,18764756525726;1,19275681857161;1,9963367518655;2,68782509189827e-08;4,49068377228904e-05
"MZB1";1,35235824172986;1,35360044726724;3,83060868422839;3,15020327080403e-08;4,67840187972963e-05
"LYPD2";-1,90684821762253;-1,91955352917579;2,22524977468066;3,68154939532887e-08;4,92075892179657e-05
"TYMS";1,15002532940657;1,1529862327836;2,68714387855912;4,34319353980316e-08;5,27737498663718e-05
"OAS1";1,42770100131416;1,42786112532057;8,76361763094271;5,07341185900159e-08;5,6509352422846e-05
"DDX60";1,2622723925988;1,26266663771848;6,90952085302592;6,87621552746728e-08;7,06980744154828e-05
"LINC00487";2,3819913334916;2,619656174616;-0,285466788962615;8,1901055515598e-08;7,67364723587135e-05
"HIST1H3J";1,13700843235015;1,13773746618334;4,55924131181534;8,91695214398388e-08;7,67364723587135e-05
"XAF1";1,46038900212499;1,46076234245771;7,32774614373294;9,18587129836463e-08;7,67364723587135e-05
"RTDR1";-1,75583021484536;-1,79323447070231;-0,558866740334687;1,27712159614136e-07;0,00010041180737662
"TPX2";1,07255276170295;1,08228010542454;0,878407661323414;1,49513057518164e-07;0,00011102175148821
"IFI44";1,72603876592848;1,72623387147039;8,59422976877332;1,62510004384935e-07;0,000114321511505739
"HIST1H3C";1,05387242250589;1,05425724105707;5,34580841010024;2,04138764863889e-07;0,000136425936558537
"HIST3H2BB";-1,17492665548603;-1,17536039647627;5,72629050385726;2,335668586881e-07;0,000148659744439292
"DTL";1,24952671243301;1,26487162489357;0,659636081027831;2,47356238561788e-07;0,000150280158391675
"TXNDC5";1,12754092531557;1,12779999969653;5,75459459704869;2,62292709044615e-07;0,000152426276047406
"FBXO39";1,9896105628242;2,05139238527094;0,303492458866984;2,73916463285049e-07;0,000152548643677832
"EPSTI1";1,40319447802439;1,40350033739338;7,68786557572902;3,10572494240335e-07;0,000166044478320653
"HIST1H3B";1,05008315544925;1,05044366959896;5,29822476587524;3,27070963365265e-07;0,000168139634474621
"CDC20";1,51709041319316;1,54971368474999;-0,0792632316812506;3,40739456749656e-07;0,000168678651070959
"IGLL5";1,45297166959961;1,453150641096;6,70243914319339;3,62693538679171e-07;0,000173134351356636
"CD38";0,946594656861628;0,947418236413687;4,68496728542308;3,92918006568358e-07;0,000181094554337678
"CCNB2";1,13319377785853;1,14099228348319;1,10925781851342;4,35616118951885e-07;0,000194081501530363
"CDT1";1,14441960691445;1,15299876043297;1,21605665248118;4,72730664482679e-07;0,000203823163273403
"DAAM2";-2,17266659561201;-2,19862678484698;1,04852749485661;5,48956587343836e-07;0,000229292304576178
"HIST1H2AB";1,07753378066035;1,08146114167807;2,1539612807814;5,77568924112372e-07;0,00023393291635412
"LST1";-0,979440052102626;-0,979546024326704;7,20078360933623;6,20551293185535e-07;0,000243949664256408
"HERC6";1,04333946520821;1,0443960900598;5,44415519162016;7,78363901640276e-07;0,000297246054552112
"GTSE1";1,31884858482018;1,34513416964161;-0,0315768374507551;8,02144754682606e-07;0,000297818521974659
"CAMK1D";-0,656618001628453;-0,656799054297615;5,49703873567724;1,23958282974574e-06;0,000447790921685988
"CLEC9A";-1,2066143891533;-1,21298011856521;1,15110550623528;1,4717693254739e-06;0,000517675494849582
"TP53INP2";-1,08200416647121;-1,08505340768466;2,10037961583832;1,84975866796039e-06;0,000633945496306632
"IFI44L";1,82186317277534;1,82258072424598;7,13103238943163;2,11201808814306e-06;0,000705730844153003
"CMPK2";1,46756630605264;1,46803434808469;7,61402832694559;2,25228173433982e-06;0,000718565979442821
"CEP55";1,2814699646915;1,31414909954478;-0,262995029393019;2,25795085564855e-06;0,000718565979442821
"MKI67";1,00585582904147;1,0118752986586;1,41161586997188;2,68160546953489e-06;0,000833542760600076
"FOSB";-1,66157926031639;-1,66828383194239;1,50236697842046;3,90534713673137e-06;0,00118633795067162
"METTL7B";2,00756461436687;2,1207343918223;-0,432707480489458;4,82816215881271e-06;0,00143407145365979
"E2F8";1,58923268870945;1,66686484299743;-0,793679686876416;5,91496277926696e-06;0,00171868244581918
"KIF2C";1,1584958566744;1,18209161392884;0,0195390720106549;6,39476904762143e-06;0,00181856347001081
"YOD1";-1,21571689823995;-1,21599053539619;6,19706823041292;7,45840893155731e-06;0,0020768561203999
"BLVRB";-0,992750031950439;-0,992803907150993;8,39015663373136;8,07724565621419e-06;0,00220327480491753
"CDCA3";1,47732495698278;1,52049922168735;-0,415764963959607;8,51733833064584e-06;0,00227685488254825
"HJURP";0,911237924408033;0,918228424920705;1,16023911615768;1,08241227709596e-05;0,00283676911679698
"TCP11L2";-0,841439955976314;-0,841492736362702;7,96030995589392;1,19084253275346e-05;0,00301723732780589
"PPP1R17";-1,82368334310712;-1,93182282867986;-0,534242432959544;1,19642060731492e-05;0,00301723732780589
"PYCR1";1,50408138273017;1,54683105035922;-0,408673018625584;1,24230344696722e-05;0,00307332041615191
"MCM10";1,06538174263126;1,08137055363434;0,510357637449449;1,26464628825644e-05;0,00307332041615191
"LOC200772";-1,28339906381513;-1,30661526948033;0,616705459103578;1,64742170539662e-05;0,00389194213954276
"AMPD2";-0,742750762310573;-0,742899669863012;6,05042809791848;1,6597389043389e-05;0,00389194213954276
"G0S2";-1,81018222675918;-1,81364137265468;2,59449457330581;2,10687786302468e-05;0,00485526370985998
"CCNA2";0,844525398364168;0,850759558835466;1,2659558841418;2,23792185918459e-05;0,00502090324850128
"CDC6";0,889076602435756;0,899249134847909;0,647304731457031;2,26583122959612e-05;0,00502090324850128
"LOC283070";-0,678346462037315;-0,678562625248137;5,20119180416677;2,29144918568441e-05;0,00502090324850128
"TOP2A";1,08158157324659;1,08889529816337;1,26244068719674;2,40073135479652e-05;0,00517551214325972
"VMO1";-1,77575519701737;-1,85373919911469;-0,18344976493323;2,91397244816484e-05;0,00618224694320179
"KIFC1";1,01796608120119;1,02871828621236;0,805717405949329;2,97698052172248e-05;0,00621723775833479
"NR4A2";-1,0211123340541;-1,02906013131464;0,888956226444847;3,1233871888863e-05;0,0064226451025622
"OAS2";1,16396059516447;1,16412539259435;8,33168495490701;3,33980383596133e-05;0,00676360879870592
"GGT5";-1,65276415847396;-1,71419487476881;-0,7270472776861;3,40268396715704e-05;0,00678810058283895
"RTP4";0,983995797588586;0,984539944156703;6,1818139923979;3,99125286954331e-05;0,00784515968445822
"PLK1";0,918150093070557;0,924621533131322;1,10205559938856;4,28017480539351e-05;0,00827932394987417
"HIST2H2BF";1,34612054098005;1,3628270289019;1,53630122464441;4,38044331918752e-05;0,00827932394987417
"CDCA2";1,27800411602724;1,32648339162123;-0,650446383783157;4,39796498908474e-05;0,00827932394987417
"HIST1H3D";0,735839010357947;0,73613943924242;5,22997863429745;5,27309928619442e-05;0,00978892292489926
"MPZL1";-0,880327930712744;-0,882142801563594;3,27830914556025;5,3719786127995e-05;0,00983587207379152
"ESPL1";1,05492781997346;1,07383786559464;0,177329929170967;5,48482413214124e-05;0,00990677829056754
"KIAA0101";1,04975369816006;1,06275276110289;0,515675864823286;5,73575583686981e-05;0,0102218816687469
"CNTNAP3";-1,26465122291839;-1,26553199090199;3,80923848854604;6,01513953415522e-05;0,0105787309228314
"DNAJB5";-0,845652845137481;-0,850095113009915;1,26957698643181;6,21478736296287e-05;0,0106521003566705
"SIGLEC1";1,53975315190387;1,54297642405299;4,75280074192564;6,21624889885006e-05;0,0106521003566705
