"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"TCL6";-0,375603354753451;-0,37935797866097;0,850109158455035;0,240208915567702;0,672189651557713
"POLR1E";-0,266566979259343;-0,266776520288775;4,11320925644238;0,240303578014294;0,672189651557713
"JAG1";-0,270849007727318;-0,272274716083605;1,59011455151986;0,240314548390483;0,672189651557713
"SRXN1";-0,287403025189054;-0,287521551596773;5,01196387878458;0,240340741044016;0,672189651557713
"NLRC5";0,268593697651179;0,268609493662299;8,40611507905348;0,240408307160214;0,672237956799878
"MAP7";-0,348001188746762;-0,353172864744088;0,295480487836484;0,240575605392222;0,672551463099586
"MFSD2B";-0,319681843049938;-0,320848393937579;2,06335144940384;0,240621060642093;0,672551463099586
"PPP1R12C";-0,270220129469963;-0,270271267376824;6,14914144637515;0,240714218589834;0,67267117827132
"DCAF4";-0,266111152300367;-0,266656365353633;2,79993757379763;0,240972676133526;0,673252673327907
"CASP4";0,270272254018556;0,270287959949103;8,17852351961833;0,241036733351261;0,673290904487557
"CREB3";0,265454001354918;0,265866852737334;3,28595809730391;0,241142724738993;0,673334746750781
"LIG4";0,266789894696358;0,267179003518499;3,23220821072663;0,241188631750927;0,673334746750781
"RAB14";0,271090126893888;0,27115495780772;5,98872597995877;0,241221070022893;0,673334746750781
"OAT";-0,265602723091215;-0,265762913843832;4,47167097537545;0,241253935522182;0,673334746750781
"SWSAP1";0,265619404729484;0,266418101711133;2,30676310625874;0,241327733392317;0,673386777345762
"MEIS1";0,27064829413562;0,272286520136671;1,50991628072965;0,241403928876336;0,673386777345762
"ACVR2B";-0,270779353292974;-0,271869138587361;1,89506380727735;0,241475552445346;0,673386777345762
"LOC256880";-0,305068744431426;-0,309874116369064;0,341929027640412;0,241510666862207;0,673386777345762
"RNF219";0,26888887242549;0,269410768373094;2,82797938723447;0,241524480816668;0,673386777345762
"CXCL16";-0,268641346120141;-0,268785205549733;5,03060950560568;0,241708444501755;0,673759138521471
"CYC1";0,265669114771215;0,265803307715435;4,81956005574362;0,241810041545472;0,673844303904739
"TLE2";-0,302998651059617;-0,304571832789317;1,47530430017305;0,241921760242586;0,673844303904739
"EPOR";-0,2871099531204;-0,287455225813663;3,59240801717684;0,24193955332269;0,673844303904739
"B3GALTL";-0,270609359551702;-0,272552058452296;1,17296672809945;0,241984145061385;0,673844303904739
"FLJ36777";-0,53920495969126;-0,558017374042947;-0,386661127877841;0,242026452793836;0,673844303904739
"RNGTT";-0,266106964710243;-0,26659138988296;2,99499807912805;0,242041486087584;0,673844303904739
"GIT1";0,268298590920826;0,269178532955172;2,26955141311763;0,242217128016381;0,674192864028935
"MTMR10";-0,268571427583922;-0,268613408724083;6,43851331792887;0,242508635175304;0,674863713877391
"IMMP1L";-0,370952431839866;-0,382714124484131;-0,591581251245369;0,242692691251912;0,675235327075989
"C7orf50";0,267634550361725;0,267943107883708;3,67406800703091;0,242774301108545;0,675321812407244
"LOC100132891";-0,316376453260841;-0,321130511726526;0,202408856029912;0,242876938218934;0,675333777423859
"EGLN3";-0,269360195607865;-0,270529080126364;1,89528417385028;0,242928662918161;0,675333777423859
"XRN1";0,282748266743543;0,282882979425287;5,9042624311096;0,242948635804558;0,675333777423859
"RNF10";-0,286441144740293;-0,286452714367814;8,5790231431029;0,243033118334482;0,675333777423859
"LOC100192204";-0,275945236767606;-0,276871822634292;2,28916131798609;0,24303573920815;0,675333777423859
"MRPS31P3";-0,265910471144065;-0,266434236388618;2,97646861084347;0,243101620194009;0,675333777423859
"TCEAL8";0,283552585591571;0,284097351478208;2,82562895534049;0,243166449303844;0,675333777423859
"RFWD2";-0,266381726725052;-0,266429964161898;6,34589449596454;0,24318281241516;0,675333777423859
"FAM114A2";-0,270907309283954;-0,271142531993077;4,05224690340423;0,243257977736161;0,675402187457733
