"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"CNP";2,80336559977643;2,8037508546386;6,55714924830751;9,59766905645951e-89;1,35931786846636e-84
"PNPT1";4,11958210141654;4,12038555669636;6,58948891500419;3,65054430577882e-85;2,58513295013727e-81
"DHX58";4,30642638019363;4,30774145132387;6,13196216258164;2,02824385173136e-83;9,04738747538768e-80
"C19orf66";2,87598770009246;2,87634688323916;6,7531282365129;2,55521781413194e-83;9,04738747538768e-80
"TOR1B";3,18104946720425;3,18152745051795;6,5828572920878;8,19816698638401e-83;2,32221278056313e-79
"STAT2";3,55064809132426;3,55085188405463;8,08209724522974;2,1809957263148e-81;5,14824041196607e-78
"USP18";6,71031899167745;6,71477704314581;6,57450855522887;6,41514076187822e-81;1,29796626586402e-77
"HERC6";3,79546381188296;3,79732932175986;5,33521637198185;1,127934754411e-80;1,99686749084038e-77
"HESX1";7,43190157269681;7,52429126789263;2,80109739275637;1,96908438851765e-80;3,09868246606394e-77
"IFI35";4,11344814898453;4,11370542984908;8,28551071177052;4,09114065762231e-80;5,79428251339048e-77
"RIN2";3,64124634600075;3,64182581427572;6,66990011766916;9,44417972008205e-80;1,2159810670502e-76
"PARP12";3,69469584175243;3,69511847942286;7,26602432292315;1,78135242687557e-79;2,10244120181989e-76
"BST2";3,20411221762814;3,20419710003689;9,12234698164733;5,3835846960874e-79;5,86520846543738e-76
"RGL1";3,3802944631053;3,38590748707651;3,10409022095652;1,56457379010474e-78;1,58278989923239e-75
"TRIM5";3,4845594638806;3,48525393817752;6,29828685266203;6,73574678063652e-78;6,35989211027701e-75
"TTC21A";4,55084157985476;4,56018829020365;3,40945751986806;1,57707822841118e-77;1,39600993431172e-74
"TMEM123";2,90167096174232;2,90173895153677;9,18603982598923;4,08259621467545e-77;3,40128295226167e-74
"KIAA0226";2,45624725641741;2,45641904669834;7,38597074821703;1,67229036569721e-76;1,31581380274276e-73
"LAP3";3,8973172998027;3,89752535148379;8,34000217924916;2,9979586343427e-76;2,23474148095767e-73
"DDX60";3,48119822784123;3,48171156391032;6,95282051981627;3,39752710608454e-76;2,40595882017377e-73
"DRAP1";2,6507967126175;2,65087848691412;8,73688609434785;5,2919001297803e-76;3,5690086446704e-73
"DTX3L";2,64257873972265;2,642760798769;7,52707566287907;6,95035897915562e-76;4,4744515555355e-73
"EIF2AK2";3,69141933748677;3,69156294879377;8,85485138246704;8,35363409044356e-76;5,14402259230227e-73
"MOV10";3,425116548168;3,4262196600346;5,53843208940932;1,56860303799288e-75;9,2567186779555e-73
"RNF213";2,87465612709483;2,87476129289659;8,53571406874399;1,74229752681908e-75;9,87046394893546e-73
"FAM46A";2,92905383076689;2,92932467825699;7,16628948664018;2,39989881376751e-75;1,30729872689959e-72
"NUB1";2,81773491972375;2,81785825438671;8,11742709755631;2,91434650322257e-75;1,52873664907931e-72
"PML";3,6604865198519;3,66127851461364;6,23742740314653;3,68377659936032e-75;1,86333314202644e-72
"TREX1";2,89188719224343;2,89394533102264;4,2646461253534;5,92057421272875e-75;2,89148595085784e-72
"OASL";5,32930396889322;5,3306464758088;7,07264774644466;6,66976975470336e-75;3,06154826903927e-72
"IRF7";3,98883433762273;3,98901435383132;8,83305374720203;6,70112238510325e-75;3,06154826903927e-72
"ANKFY1";2,22543163777586;2,22572889076126;6,46780698648923;1,02457853833437e-74;4,53472057450928e-72
"CCL2";7,91698443547037;7,95756265383682;4,46316687893921;1,10740094859083e-74;4,75276352572481e-72
"TDRD7";3,07364851747875;3,0751534670332;4,79969123545199;1,29371540307579e-74;5,38908566287129e-72
"TRIM14";2,17172293583796;2,17187441401038;7,47526947410241;4,09821712242148e-74;1,6583728315673e-71
"PARP14";3,59466044545759;3,59482006462927;8,45328743159095;4,59294680334543e-74;1,80694182154948e-71
"ZBP1";3,76293677307449;3,76337700543951;7,24302097747514;5,94788889079169e-74;2,27675541514277e-71
"MX1";5,34354742303836;5,34367713446766;10,5237771538255;8,89555119330662e-74;3,31546556712636e-71
"OAS2";4,48757857006741;4,48790089472983;8,5521952731182;1,69340096144623e-73;6,14965072229821e-71
"UNC93B1";2,55690381686878;2,55707073330982;7,59548954126348;2,23060366292118e-73;7,89800991948817e-71
"HERC5";5,85431185532862;5,85481769890013;8,91268404839224;5,03585591803028e-73;1,73958115529422e-70
"GALM";3,83253851403509;3,83454854842081;4,96569479992488;1,36455981508135e-72;4,60149063357075e-70
"DDX58";4,28152993500536;4,28161027097163;10,0628141764228;1,56866613451837e-72;5,16674847981016e-70
"KIAA1958";3,57634967661416;3,58129390668532;3,59674374642271;1,86858283491348e-72;6,01471333883627e-70
"PPM1K";2,32867478780525;2,32913810345709;5,83316006658229;2,78952603031992e-72;8,7795682594269e-70
"PARP10";3,06099257119985;3,06126274245602;7,32308120769211;3,83388918238542e-72;1,18042114108967e-69
"SLC27A3";2,77881713903314;2,77946676729408;5,75008124508773;5,74572633535204e-72;1,73141961888491e-69
"IFI16";2,73367121757442;2,73370490694324;10,0087684102746;6,76273163985605e-71;1,99542850448503e-68
