"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"IFI27";7,10151105146074;7,10898761218028;6,51524477461756;8,26711942626814e-49;1,17087212434236e-44
"LY6E";3,08582532055581;3,08605548606191;8,85286117487142;4,2517638686756e-47;3,01088658360263e-43
"IFI44";3,60296834568649;3,60342500418546;8,48275829274048;5,76353787182124e-39;2,72096622928681e-35
"IFI44L";4,2840469422503;4,28515190772138;7,94580311071104;5,46603887174964e-37;1,93538771351476e-33
"SIGLEC1";4,36858178325029;4,40240905366021;3,26994118584996;1,78815260863349e-33;5,06512107921522e-30
"ISG15";3,76686752372291;3,76723367820702;10,1751532454101;3,0332986193376e-33;7,16010139094641e-30
"XAF1";2,59116733119088;2,59158210232532;7,62369990106853;6,88423855510003e-33;1,39287815222688e-29
"OAS1";2,60171388649546;2,60189637510552;9,13094268206993;1,50800443693874e-32;2,66973335504542e-29
"OAS2";2,51773748214382;2,51801192574999;8,5521952731182;5,10379878488794e-32;8,03167802115199e-29
"HERC6";2,0573251233683;2,05884928155041;5,33521637198185;7,94963740624142e-32;1,12590714584597e-28
"USP18";3,20112879727436;3,20508785340187;6,57450855522887;2,6562892055719e-31;3,42009309259225e-28
"OAS3";2,92782465856285;2,92812372982388;9,3231771581023;8,13327319068463e-30;9,59929568330553e-27
"CMPK2";3,16499979625849;3,16583837511569;7,94487766056457;1,99125701461361e-28;2,16939793061327e-25
"IFI6";2,77141411265928;2,77151887258941;10,6530056894411;3,46099558189868e-28;3,37703901464371e-25
"SPATS2L";3,12122463171621;3,1337295749737;3,7858481545093;3,5766140803259e-28;3,37703901464371e-25
"RSAD2";3,79693093814572;3,79743471053773;9,89463383443035;1,46075487653087e-27;1,29304195726917e-24
"DDX60";1,80927397559337;1,80967663213793;6,95282051981627;4,57758822438178e-27;3,81366953070113e-24
"MX1";2,51141206311704;2,51152189493846;10,5237771538255;4,33856828805683e-26;3,41373014798605e-23
"EPSTI1";2,45536105745978;2,4557556519841;7,7857560201507;2,62606136844738e-25;1,95752142954317e-22
"IFIT1";3,12289083229859;3,12326857150857;9,52465137466501;7,7127027814972e-25;5,46175047471724e-22
"MS4A4A";1,93394568481925;1,93622830659666;3,90604380490908;3,16869168709445e-24;2,1370562078247e-21
"OASL";2,33194444868026;2,33305205507752;7,07264774644466;1,45490454413291e-23;9,3662786629793e-21
"IRF7";1,83704347738468;1,837184235509;8,83305374720203;1,34188913802831e-22;8,26311993995435e-20
"RTP4";1,88690388630693;1,88756625997824;6,4330628732008;1,76691019741086e-22;1,04269788024709e-19
"TRIM6";2,48845368247542;2,50881787168256;1,94884909612131;1,63723608178457e-21;9,27526985052596e-19
"IFIT5";1,74115721875291;1,74153609252984;6,96615300728826;2,13206153336016e-21;1,16139951911461e-18
"CTSL1";1,63676808646849;1,63781745623453;4,62216374732751;2,48448704218487e-21;1,30325148068386e-18
"SHISA5";1,16293642591298;1,16297430675106;8,87456969401022;1,12247252940972e-20;5,67770658358208e-18
"EIF2AK2";1,60020835895522;1,60031207768314;8,85485138246704;3,81338084386465e-20;1,86184717525057e-17
"LGALS3BP";1,55715127837513;1,55773360127327;5,88948795601524;3,94375593147759e-20;1,86184717525057e-17
"HERC5";2,29246757902817;2,29287800005964;8,91268404839224;9,46408801688479e-20;4,32386705106901e-17
"FBXO39";2,61029121521943;2,68564848609355;-0,0992378587460677;1,1505688696187e-19;5,09234590637803e-17
"PARP12";1,52568030810614;1,52597906447361;7,26602432292315;2,20318944462903e-19;9,45568851644878e-17
"IFIT3";2,53609365400526;2,53623459176337;9,73182960475254;7,04625583188491e-19;2,93518003961724e-16
"PLSCR1";1,68534312904177;1,68560789292317;7,35349987904634;2,10491316461955e-18;8,51768147157336e-16
"DHX58";1,59179149494834;1,59272371778578;6,13196216258164;4,88913625625221e-18;1,92346768881389e-15
"C2";2,04433116301422;2,0491092500147;3,32818499511578;5,0484387507263e-18;1,93246048720369e-15
