"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"LY6E";3,02912656555621;3,02935775363004;8,85286117487142;3,87302356224863e-51;5,48536327121274e-47
"IFI27";5,80750774417988;5,81490518020512;6,51524477461756;1,12200151166047e-41;7,94545370482362e-38
"USP18";3,54353621797774;3,54766837867843;6,57450855522887;2,94184366269534e-40;1,38884439315847e-36
"IFI44";3,41492504954926;3,41538578124262;8,48275829274048;6,24098121640165e-40;2,20977542419742e-36
"OAS1";2,70580521731249;2,70599459403884;9,13094268206993;4,26312405048196e-39;1,20757251853952e-35
"OAS3";3,26886515703824;3,26917973913884;9,3231771581023;1,38493678716505e-38;3,26914328610309e-35
"IFI44L";4,06309408500471;4,06429645126723;7,94580311071104;1,81172863319545e-37;3,66564466170673e-34
"OAS2";2,5261896484839;2,52646851751494;8,5521952731182;6,74561089131682e-37;1,1942260881715e-33
"MX1";2,89238316969637;2,89249954887421;10,5237771538255;2,09651188424116e-36;3,29921086850083e-33
"DDX60";1,93972675457146;1,94014636130025;6,95282051981627;1,39666974158103e-35;1,97810335500121e-32
"XAF1";2,45729882975616;2,45770428872712;7,62369990106853;6,88138458001068e-35;8,86009543697194e-32
"RSAD2";4,26482853632281;4,26535042846595;9,89463383443035;7,83892316770775e-35;9,25188906868707e-32
"CMPK2";3,35735306735208;3,35822482405177;7,94487766056457;1,66192628200426e-34;1,74203939962963e-31
"ISG15";3,63868519430178;3,63905641208795;10,1751532454101;1,72199051011896e-34;1,74203939962963e-31
"HERC5";2,93106499233622;2,93151677585542;8,91268404839224;6,66314284574895e-33;6,29133947495615e-30
"SIGLEC1";4,02329537008659;4,05740767949374;3,26994118584996;1,44965829512004e-32;1,28321940211157e-29
"IFI6";2,75656234418302;2,75666585489304;10,6530056894411;1,0647229257377e-31;8,87039458660178e-29
"HERC6";1,86246200857514;1,86393456670164;5,33521637198185;1,50200910030299e-31;1,1818308270884e-28
"IFIT1";3,41172731607172;3,41212538533388;9,52465137466501;1,82673446590399e-31;1,36168632845254e-28
"OASL";2,5204571129275;2,52159678965307;7,07264774644466;3,61971816028552e-30;2,56330341520619e-27
"RTP4";2,02863897009412;2,02932999802661;6,4330628732008;2,46626428417719e-29;1,66331909794293e-26
"AGRN";2,43059361930254;2,43980336119617;3,39651820424101;9,34060538473153e-29;6,01322700290694e-26
"IRF7";1,91996605740588;1,92010766665824;8,83305374720203;1,60956365327603e-28;9,9114130527602e-26
"EIF2AK2";1,77486301395757;1,77497466236534;8,85485138246704;2,10501872639355e-28;1,24222417591299e-25
"EPSTI1";2,41386857135355;2,41426457247033;7,7857560201507;3,55752189598862e-28;2,01540730451547e-25
"SPATS2L";2,78229379674203;2,79449694958248;3,7858481545093;1,67271587623693e-26;9,11179805967061e-24
"DHX58";1,77326922974293;1,77425730902594;6,13196216258164;1,13143854222739e-25;5,93502373095054e-23
"IFIT3";2,70181651678502;2,70196888221152;9,73182960475254;1,50648556609427e-23;7,6201268116404e-21
"IFIT5";1,67706474912791;1,67744310188936;6,96615300728826;2,07046610329295e-23;1,01117280761856e-20
"ZBP1";1,64785383089772;1,64817524521563;7,24302097747514;2,23395254992629e-23;1,04254145572966e-20
"HES4";2,65348651480063;2,66752735287405;3,71344483980869;2,28191662272254e-23;1,04254145572966e-20
"CCL2";3,42531781542312;3,46291268392884;4,46316687893921;7,62040235474066e-23;3,3727424546935e-20
"PARP12";1,47792761093128;1,47822099967409;7,26602432292315;7,66370539133723e-22;3,28912301386391e-19
"IFIT2";2,13326576973652;2,13331848716897;11,16525437443;2,17220030286231e-21;9,04849202630555e-19
"FBXO39";2,46032874742967;2,53238678336066;-0,0992378587460677;3,47756195271414e-21;1,40722028389401e-18
"IFI35";1,55818318001268;1,55836256828332;8,28551071177052;6,20848890188918e-21;2,44252300881824e-18
"LAMP3";2,98434138143413;2,99197173690119;6,15334034508142;1,4323678437844e-20;5,48287183014011e-18
"TRIM6";2,16741540818992;2,1864569312961;1,94884909612131;6,60160191503859e-20;2,46048652428136e-17
"HESX1";2,93451943920679;3,01686490599338;2,80109739275637;2,92424782075792e-19;1,06195184321524e-16
"MT2A";1,92330603598109;1,92343465251271;9,59071280591656;1,15496436578768e-18;4,08944007816272e-16
"EPHB2";1,56522890928133;1,57342227431568;2,10588983290634;8,54758116376099e-18;2,95266809810602e-15
"DDX58";1,5648254674265;1,5648817012899;10,0628141764228;1,49026356979173e-17;5,02538165213341e-15
"PNPT1";1,35288831268863;1,35341351407146;6,58948891500419;1,83738874150541e-17;6,05184575487004e-15
"TRIM5";1,26968028036102;1,27012893643771;6,29828685266203;2,24872254882929e-17;7,23833124069755e-15
"BATF2";2,17740215504666;2,20920065229866;1,48130360167042;4,45315387076612e-17;1,40155596159246e-14
"SAMD9L";1,56090290692314;1,56134126325716;6,83910443364913;4,65756428610381e-17;1,43402354313235e-14
"LGALS3BP";1,28476390586633;1,28526625394467;5,88948795601524;4,90123746666483e-17;1,47694098383774e-14
"KIAA1958";1,38072889278373;1,38403156833716;3,59674374642271;7,03976569064662e-17;2,07717086409642e-14
"HELZ2";1,38952862272227;1,39028634594563;5,76896350232592;1,61425017335944e-16;4,66584187863057e-14
"ZCCHC2";1,43682925472367;1,43716581503933;6,65572771804576;1,93645915432589e-16;5,48521420054352e-14
"KLHDC7B";1,05795043211386;1,05918596982466;3,85503164931426;6,29898960819569e-16;1,74926646707599e-13
"LINC00487";3,17269920073538;3,3800254191847;-0,555003187255366;1,60979148491786e-15;4,38451476940224e-13
"C19orf66";0,986997523060475;0,987207739078397;6,7531282365129;1,83461266140918e-15;4,9025696459506e-13
"PML";1,27025959951762;1,27076061479754;6,23742740314653;2,21763534938869e-15;5,81636471359112e-13
"BST2";1,10229543396843;1,10234614794186;9,12234698164733;2,76651842940952e-15;7,12403645740493e-13
"CCL8";3,72539540416695;3,90424685064614;3,34038623966948;3,64529395279133e-15;9,2193389738185e-13
"PARP10";1,11993619838845;1,12010100338799;7,32308120769211;7,13051170807724e-15;1,77174451441224e-12
"PLSCR1";1,35660822274035;1,3568415495143;7,35349987904634;1,11396775949606e-14;2,72019403064529e-12
"DTX3L";0,937329716420175;0,937433157027753;7,52707566287907;5,96298456087411e-14;1,43141949721458e-11
"LAP3";1,23488538093236;1,23501324208027;8,34000217924916;7,28451689950598e-14;1,71951021412839e-11
"TOR1B";1,01262593273459;1,01289463439379;6,5828572920878;7,842160634887e-14;1,82079542740827e-11
"IFITM3";1,46059116807231;1,46062297552973;10,3342004985395;1,08688770898303e-13;2,48283719714946e-11
"SERPING1";1,88582158001617;1,88671891168307;6,79197708754397;1,29168085533426e-13;2,90382158001573e-11
"TMEM123";0,978505814279617;0,978544060483324;9,18603982598923;1,4122604322519e-13;3,12528820343496e-11
"ETV7";2,04078835632486;2,04874015708454;3,64981874824865;3,1149153459727e-13;6,78716093000176e-11
"NTNG2";1,28776099446675;1,28799503955648;7,07129452714176;3,90028870937111e-13;8,36966499860956e-11
"SHISA5";0,849787157399292;0,849817742851989;8,87456969401022;4,28558066776845e-13;9,059205820538e-11
"IL1RN";1,38662987753887;1,38674314448492;8,89989178879623;6,39615941165926e-13;1,33218831981368e-10
"RSPH9";1,63067340540752;1,64648266939297;1,73952848709279;6,76739786027746e-13;1,38908196949434e-10
"IL4I1";1,27140750809751;1,27796380536031;2,45470881978789;7,58827254118823e-13;1,53532434286927e-10
"IFITM1";1,39525472296601;1,39528378215882;10,3437878338185;7,69692205240926e-13;1,53537333842637e-10
"TRIM14";0,790894891578917;0,790976414325215;7,47526947410241;8,80792562271437e-13;1,73259236936811e-10
"DNAJB5";-1,14005839633604;-1,14474080097846;1,82331625983244;1,13427067948952e-12;2,2006404977548e-10
"TRIM22";0,85823309796327;0,858258749115689;9,24829888285902;1,68598048781071e-12;3,22682995254906e-10
"DRAP1";0,888345163956347;0,888390063837701;8,73688609434785;1,78314710648022e-12;3,36729499587724e-10
"RTDR1";-1,73366487387724;-1,76519896031221;-0,115329649842467;1,82624789080252e-12;3,40330906282053e-10
"IFI16";0,938963018622198;0,938982053642801;10,0087684102746;2,97029337446226e-12;5,46341104707909e-10
"HIST1H2AM";0,934545603792567;0,934846756356277;5,48381357494781;3,82609671326281e-12;6,94730868588989e-10
"STAT2";1,02849455124638;1,02860763132935;8,08209724522974;4,63415804040656e-12;8,30804814256684e-10
"TREX1";0,953542879138171;0,954708726003418;4,2646461253534;5,25783608385644e-12;9,30834155695734e-10
"PARP9";1,16787535195392;1,16800175293854;7,74400214072282;6,29873092245042e-12;1,10134476610698e-09
"IFIH1";1,32101852009894;1,32174811014623;6,21852173945072;1,03653915744012e-11;1,79030537644201e-09
"CNP";0,815529427241397;0,815723965139406;6,55714924830751;1,10948601192716e-11;1,89321088999089e-09
"DDX60L";1,07525803190503;1,07531473763106;8,88094290483744;1,52393422018604e-11;2,56946194767797e-09
"JUP";1,3513100754943;1,35173656928256;6,33065223299366;1,66103748758108e-11;2,76767928666011e-09
"ODF3B";1,18365703536232;1,18431227698453;5,51571346414007;1,93529202516719e-11;3,18715592470266e-09
"RNF213";0,902622259307296;0,902678782783912;8,53571406874399;2,52427734287116e-11;4,10934942610163e-09
"MX2";1,20521767481277;1,20543265831567;7,25657633831196;2,8467044325755e-11;4,58157669074623e-09
"TTC21A";1,28829194711076;1,2941090626457;3,40945751986806;4,15977652084982e-11;6,61965335559505e-09
"RUFY4";1,32648742205862;1,33665983308632;2,15258761761163;1,039641951492e-10;1,63604988433124e-08
"PARP14";1,03439127583762;1,03448008958463;8,45328743159095;1,18497041332194e-10;1,84425669932732e-08
"FTSJD2";0,862604491937131;0,862716346598536;7,37239298693829;1,57828613257692e-10;2,42970287996596e-08
"FAM46A";0,883289045347273;0,883431218484252;7,16628948664018;1,7542346533412e-10;2,67152961239478e-08
"KIAA1045";-1,86068528652146;-1,92898088318148;-0,720834090642863;1,99639264540787e-10;3,00796904647997e-08
"TIMM10";0,909026044978842;0,909404919317047;5,25313376971395;2,05622422561006e-10;3,06550565340161e-08
"BTN2A2";0,653959429079938;0,654410081948672;4,33585937448545;2,22389664316204e-10;3,280942516365e-08
"IMPA2";-0,850465376295073;-0,850870534106502;4,81238019180536;2,87100941572991e-10;4,1919697273178e-08
"IRF9";0,727351495094347;0,72741871848605;7,40982621413587;3,8410034871814e-10;5,55103391723982e-08
"APOBEC2";-1,81643277976025;-1,88588447487247;-0,242216718065925;5,6700578299806e-10;8,03562590155957e-08
"HSH2D";0,862321996871736;0,862393009517856;7,81916984965456;5,673674999336e-10;8,03562590155957e-08
"CD38";1,04681645768064;1,04721169424024;5,59839864721508;7,12938966039588e-10;9,99738076833534e-08
"REC8";0,811991834937146;0,812580059173906;4,28301717611012;9,79024321400733e-10;1,3594040650979e-07
"MOV10";0,945169675846021;0,945754758757501;5,53843208940932;1,36402061222317e-09;1,87559455639968e-07
"CXCL10";1,80080645343645;1,80739030745425;5,96122543056227;2,28833052236682e-09;3,11631011425781e-07
"TDRD7";0,875023577977957;0,87578772112278;4,79969123545199;2,55595705505309e-09;3,44762093054447e-07
"TCP11L2";-0,753323558252076;-0,753391233090166;7,37170991179418;2,72943896377075e-09;3,64689094753634e-07
"PDZK1IP1";-1,2329811274712;-1,23311861593716;7,30845293354793;3,10215149076117e-09;4,10614687510751e-07
"SCO2";1,26183250779829;1,26352672289847;4,06878393813344;3,67847879758093e-09;4,823916223161e-07
"GALM";1,03161924525893;1,0327096339759;4,96569479992488;3,75188372382161e-09;4,87503937435647e-07
"CEACAM1";1,21475375922989;1,21537417252016;5,98743123228784;3,90366880690594e-09;5,02615102838262e-07
"DZIP1L";2,21464664560521;2,24095882911562;3,22578390223808;3,98861762947314e-09;5,08926049425479e-07
"TBC1D15";-1,15709851246388;-1,16705059724776;0,924989033930007;5,18753494539747e-09;6,55991584211289e-07
"KCTD14";2,43843302085308;2,95735268027544;-1,10478572275491;5,70787014578458e-09;7,15403228980063e-07
"RIN2";0,910124630661162;0,910418795865104;6,66990011766916;6,41140259976015e-09;7,96532412459675e-07
"OR2W3";-1,30410207881167;-1,30457835741389;5,68966702943685;6,51072279846345e-09;8,01837973866417e-07
"PIP4K2A";-0,951301614038404;-0,9513638133246;7,93738733114321;7,11646528488163e-09;8,68883601980849e-07
"CHMP5";0,821154611863864;0,821365161823739;6,08171614984634;9,03586561278755e-09;1,09380311687103e-06
"EPB41";-0,948434871161972;-0,948456987334992;9,42727627391069;1,04894302790924e-08;1,25899831392191e-06
"ATF3";1,50286019675211;1,51281268341747;3,40446536607325;2,36463798254938e-08;2,81431661738209e-06
"CCR1";0,980242470973009;0,980809354982992;5,15410885296161;3,44033519858798e-08;4,06045561813347e-06
"CFB";2,03706424646111;2,20975176385782;0,493671794115371;4,25839603635588e-08;4,98443496387672e-06
"PHF11";0,850827969275369;0,851538686389042;4,76012419044614;4,7587071798412e-08;5,52439096623696e-06
"STAT1";0,827940344685114;0,827957710617734;9,99957983883552;5,2699771727119e-08;6,06818591033484e-06
"CCDC176";-1,13764213921596;-1,13974285302023;3,14830088940619;9,11178904691266e-08;1,04072796993084e-05
"GBP1";1,01273451299184;1,01280021848105;8,99389382837157;1,27212010850995e-07;1,44136296774612e-05
"SDC1";2,12415369536979;2,27600686408421;-0,978903175974241;1,31860647526187e-07;1,48217646897888e-05
"C2";1,1370871091447;1,14051759971073;3,32818499511578;1,5575272260901e-07;1,73694945693811e-05
"BAG1";-0,897500428765971;-0,897605777909182;7,23629203647946;1,87969680949372e-07;2,07985514944215e-05
"UNC93B1";0,694055592577135;0,694131889529005;7,59548954126348;1,94255140158517e-07;2,13274073648455e-05
"HIST1H3D";0,829086466158343;0,829355074414018;5,36593110674903;1,96161337504776e-07;2,13710232544626e-05
"FAP";1,94277181634226;2,14088565194277;-0,644331947936323;2,02157763614103e-07;2,18561863058515e-05
"UBQLNL";0,910561520522416;0,914534053133405;2,10784804318944;2,18392798560788e-07;2,34325545910337e-05
"FAM70A";1,5065697640371;1,53094866648744;1,37518163795267;2,39971754757713e-07;2,55542854333345e-05
