"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"MICAL3";1,49436961177614;1,49570044958084;3,14830914070654;4,93982705880538e-08;0,000699627706338606
"LOC100506083";2,19157144978926;2,20338190920935;0,236606724010888;2,43178157894583e-07;0,00172206612513049
"DIRAS3";3,60044244757651;3,70812873457473;-1,31639679574889;2,05396503410035e-06;0,00969676892598774
"FLJ40194";3,03507674797828;3,04399234510512;0,120730921472931;7,90330428330418e-06;0,0279836246411093
"ITGAV";-0,875793686670296;-0,878173198009477;2,66579072716283;6,38763133879861e-05;0,153370123562833
"SLC29A1";1,68638239967808;1,68729778441822;4,57047979107781;7,45427292714729e-05;0,153370123562833
"HSD3B7";1,46993424946784;1,47444016669375;1,85894229193853;7,58025040556259e-05;0,153370123562833
"NUPR1";2,6746075953363;2,72000286685555;-0,65295625695186;0,000126604554488534;0,195826776162765
"DEFB124";2,7350989510913;2,78024957646064;-0,743684197533504;0,000133896969403976;0,195826776162765
"LOC100128338";2,71240896566548;2,83491047247492;-1,39410665878115;0,000145634648399006;0,195826776162765
"IGFBP4";1,164201605198;1,16977850934347;1,50375763843137;0,000152093097351579;0,195826776162765
"OLIG2";2,2341167480655;2,24462458679299;1,52020974847382;0,000188832586856834;0,222869660637778
"CDK15";2,43666224812159;2,46638988270103;0,400180467338906;0,000255625881467389;0,278494566094048
"CBFA2T2";0,800680668832529;0,800904549133354;5,41535530019932;0,000278180068208209;0,281418879002347
"VEGFC";1,84362362751133;1,86415793726653;-0,202058419223274;0,000302569643746386;0,285686257625338
"HIST3H3";1,24160084920082;1,24542680598509;1,09626540614475;0,000354547936691207;0,302852089495105
"KLK3";2,43361672457978;2,49381229263076;-0,781862025551948;0,000363516594041995;0,302852089495105
"CNR2";1,08950099183803;1,09122568003551;2,76809351499185;0,000403041287686789;0,317126319861555
"CCL23";3,21831281826332;3,2539069870788;0,612429896785925;0,000445372203154336;0,331989816488151
"ACOT11";1,46142400490846;1,46869323677135;1,35695272610743;0,000496786372859752;0,351799269940633
"TRPC6";1,73457025493208;1,74851470141991;0,740043329541891;0,00063279058022625;0,426772047035446
"PTGDR2";1,56561026600093;1,56635144184559;4,78132330775223;0,0006670658759694;0,427080865217189
"CEBPE";1,58856120499319;1,5909165862959;3,52240600718327;0,000693557854973899;0,427080865217189
"NKIRAS2";1,94676192451815;2,01435602114265;-0,831149386225748;0,000739232991457292;0,436239869083734
"CSDAP1";2,41055858946432;2,40773905319383;1,8900503490765;0,00078314450736858;0,443667026314448
"HRH4";1,54715014684986;1,55006320219296;2,60580119753363;0,000966585641227617;0,526528939873336
"ASPSCR1";0,925801155368119;0,92623203519404;5,02965334172351;0,00105275615191635;0,552229088133007
"NUDCD2";0,818080583277523;0,819042236194108;3,45054515830564;0,00110172797527141;0,557277618348894
"TSNARE1";0,815550685835425;0,816241485322779;3,66151753133582;0,00114660455508635;0,559977941851307
"DEFT1P2";2,50881033271288;2,58783233599546;-0,422600701485891;0,00127124972644065;0,594956593153206
"REPIN1";0,776714517514342;0,77790892242403;2,95566048781606;0,00130224206649364;0,594956593153206
"ST6GALNAC3";-0,965834312512436;-0,96740182436713;3,04567039009235;0,00151399057573461;0,670082766379038
"PARP4";-0,648311429398538;-0,648428992866724;6,47037828067121;0,00174633733405654;0,73652402608098
"LOC100505659";-5,43044064790147;-26,5746395933346;-1,55988212965823;0,00177384302305177;0,73652402608098
"IL5RA";1,71492758785875;1,7160678970083;4,31012518467251;0,00182011868338871;0,73652402608098
"SMPD3";1,47927703383167;1,48285432779405;2,66173170325722;0,00214897410879831;0,845442230636403
"BRI3BP";0,812221692752877;0,81266582589046;4,3416215458067;0,00232232274390139;0,888947487077712
"HBA2";0,96342198282865;0,963422075570254;16,4290849127707;0,00256166765012191;0,947754452966627
"INGX";-1,5708712133301;-1,5995015566407;0,0878045824580384;0,00260978773322731;0,947754452966627
"TPI1P3";-5,63061454164911;-6,23392391871543;-0,109885384704318;0,00268739082789461;0,951537907386785
"FRMD6";-1,97118027372911;-2,05786719369665;-0,460565670098059;0,00288879840350261;0,988916484671414
"NPSR1-AS1";2,18878681981115;2,22630629264169;-0,717883553876919;0,00318594206690382;0,988916484671414
"C4B";0,905710114331062;0,913665209070188;0,645443930667659;0,00321683696196453;0,988916484671414
"MKRN9P";1,35611535414913;1,35734433880038;3,66079962017854;0,00328285391297799;0,988916484671414
"GFOD1";0,763762202192206;0,764303968266852;4,22535369825583;0,00359244875032605;0,988916484671414
"LOC153684";-1,20164161619274;-1,21183922509689;0,955630847846802;0,00380180716391989;0,988916484671414
"MPO";1,46865297891008;1,47091571778581;3,05243785545319;0,00383004657433256;0,988916484671414
"MUS81";0,614918889189491;0,615087566047163;5,63235514918366;0,00389019335975906;0,988916484671414
"SYNJ1";-0,695694557558727;-0,696273457872033;4,18576737672532;0,00415686409748018;0,988916484671414
"HMGB3";-0,877372181133687;-0,879734958968472;2,30412084595797;0,00416369264186539;0,988916484671414
"MS4A3";1,50246081062022;1,5067619020939;1,67789901516826;0,00416452244057281;0,988916484671414
"VWA9";0,915128512052137;0,921070938666816;1,06554555861912;0,00428923360301507;0,988916484671414
"CHRNE";1,13799471954332;1,14137062601751;1,89163123607159;0,00436391676217669;0,988916484671414
