"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"DOT1L";0,658231089340552;0,658727383903416;4,11506829405338;0,000307284562611482;1
"GGT7";0,796861365758632;0,798764193898398;2,57086908170021;0,000352220940529593;1
"GAS1";-1,54645654984585;-1,56943259287306;0,0544487474066508;0,00052038333100938;1
"PARP4";-0,563429950083945;-0,563523799474638;6,47037828067121;0,000565251532606154;1
"ISG15";1,2843874098464;1,28455460267564;10,1751532454101;0,00101544201431387;1
"ACTL7A";-1,97542783856434;-2,04384734572894;-0,940993568885585;0,00107204672187913;1
"SLC43A1";0,744873603721276;0,745356575000452;4,27181826766226;0,00110617429218926;1
"FLJ11235";-2,37932845651846;-2,46934035839873;-0,850184162921024;0,00114151363491522;1
"SLC5A5";1,41055635990684;1,44846106085756;-0,526808624993971;0,00132911729475855;1
"SPATA24";-1,03488634213005;-1,0561026566919;-0,0377094082115304;0,00159850931116042;1
"FHL2";0,952215956345185;0,954763658004095;2,5359847709527;0,00169143907593087;1
"ZNF598";0,552246790825435;0,552227785326542;3,46329180593427;0,00169641046446398;1
"LOC646999";-2,32483923098693;-2,44908199140091;-1,23559509702894;0,00183052709608652;1
"RSAD2";1,39124320316289;1,39164660207803;9,89463383443035;0,00203038098202768;1
"PXMP4";0,585191159771699;0,585939903392495;3,41487628038158;0,00206484704543501;1
"TMEM203";-0,606249210587481;-0,606776642374265;3,92656449898495;0,00225089953174918;1
"TMC4";-2,53644968939021;-2,72350314590764;-0,640840711169374;0,00226742446143668;1
"RELL2";0,564646987394151;0,565691095592615;2,83856718089021;0,00235286081911176;1
"AGSK1";0,802778560501581;0,803874585535837;3,4192414653288;0,00243542492059268;1
"HSD3BP4";-1,47088553214275;-1,49258533907668;-0,13695191886403;0,00265535879671651;1
"OLIG3";-3,07949710399478;-3,40323054448324;-1,52364893014583;0,00274391801223896;1
"ABCA6";-1,48918256970616;-1,5606060096079;-0,829206858315119;0,00287499677819517;1
"NKIRAS2";1,34835028136571;1,40097692738914;-0,831149386225748;0,002875035545364;1
"PLS1";-0,820879478736641;-0,82712697530724;0,985346925250033;0,00300930767013956;1
"EAPP";-0,544897412423935;-0,545184272058526;4,78056538513022;0,00306855941710489;1
"PKD1P1";0,605153218906333;0,605283864403979;5,95466002554681;0,00322828776554289;1
"NR4A2";-0,739493694180466;-0,742307871745182;1,51013282445102;0,00330817837991095;1
"PCDHB19P";-2,43826426181478;-2,51357446397134;-0,881028873518482;0,00338387675550669;1
"PKDREJ";-1,32123115367387;-1,33855334248658;0,26608432684004;0,00341358581683857;1
"OBSCN";0,79613959796816;0,797005528159756;3,67606926701716;0,00341919953718824;1
"MIR548I1";-0,821830230074082;-0,82290596255811;3,36527817182675;0,00355772975014849;1
"LOC399753";-0,586535171862711;-0,58708386673718;3,6801641111895;0,00364395710936692;1
"TSPY1";-2,79110411590766;-2,9326032974321;-1,32995979852818;0,00370826841218164;1
"LOC401127";-1,3579535020296;-1,36993802895803;0,301783374367111;0,00372041026633147;1
"C3orf35";-1,55744819748081;-1,56766840414233;1,31789694429875;0,00391965296926563;1
"FAM72B";-0,923011066032656;-0,897607906153099;0,444410902901067;0,00394039064486376;1
"LOC100289361";-1,14745403713806;-1,16335361980852;0,0517730611439373;0,00396033010421283;1
"LOC158572";0,884152441621404;0,895348759612396;0,301705693409149;0,0041092704950688;1
"LRRC30";-2,69462412827223;-2,86994559683537;-1,47218971493303;0,00416700616115142;1
"IFI27";1,78174827518048;1,7867607537428;6,51524477461756;0,0043002429692856;1
"CCDC64";0,591612312971782;0,592048509164082;4,23997178751769;0,00445889359114436;1
"KRBOX1";-1,85807986224746;-1,87220408499741;-0,259600677596319;0,00451484835372765;1
"SLMAP";-0,5276487562046;-0,528037380117378;4,12648463276923;0,00466151808714424;1
"OR10A2";-2,47965130959134;-2,65729020484949;-1,4106108774805;0,00466590857051694;1
"CNEP1R1";-0,482862983768199;-0,483031799589252;5,29545962164784;0,00473198692522754;1
"E2F6";-0,626097431613164;-0,627119552700869;3,05902532162837;0,00479306736514295;1
"ATP5E";-0,628116321192974;-0,628228092795239;6,05148323566677;0,00480824609681694;1
"FP588";-1,56912377245379;-1,6194377412739;-0,747323176828532;0,0048315194043472;1
"ING5";0,471165524603966;0,471525291703323;4,08130258848646;0,00484956177075052;1
"C19orf77";1,10140508791035;1,1032793767316;3,04965415404306;0,00492472358882531;1
"GDPD5";0,617743917025416;0,618615263682922;3,33641973566305;0,00497078995742957;1
"SMARCA4";0,584711131441692;0,584803683310375;6,45958799847854;0,00506351098312192;1
"FKBP5";-0,675820083416007;-0,67585877207065;7,74489196409186;0,00510166795797306;1
"CLEC4E";-0,734645181695203;-0,734686118036883;7,41785940111709;0,00513791068230542;1
"CACNB4";-0,913078235309396;-0,915756237738303;2,08990111641491;0,00523943126457942;1
"OR51A7";-2,71256440271719;-2,84612756199802;-1,10449853864885;0,00538426439335651;1
"TCF7";0,755531026114217;0,761290263394233;1,68602735796857;0,00549367293029795;1
"LOC150185";-2,48014401404447;-2,57178927540309;-1,09550362476595;0,00556853488753396;1
"PCDHB7";-2,46645127391386;-2,62445695284521;-1,48049033082559;0,00628345662239179;1
"MRPS36";-0,588248992017886;-0,589676744483771;2,48993174916396;0,00631484327556945;1
"ADRA2B";-2,55379713079215;-2,69014158199772;-1,13068131828066;0,0063867295150638;1
"STH";-2,01114154108614;-2,06735668097;-0,838507594914118;0,00656324907477069;1
"SCRIB";0,592837166778147;0,593656149615315;3,27760283773363;0,00663913972545686;1
"AKR1C3";-0,888219486629879;-0,893502747139861;1,12517280872052;0,00682413618136361;1
"OR52A5";-2,68596523387379;-2,79807132839011;-0,95166501038868;0,00683497855998692;1
"OR8B8";-2,48762608416037;-2,62121119229226;-1,37611941526918;0,0068855965202181;1
"FAM114A1";-0,770491404452356;-0,778134532929933;0,549184631448523;0,00696637486881804;1
"POLR2F";-0,577402686650227;-0,577823304699784;4,08784661486936;0,00710679144917166;1
"DVL2";0,539533113588036;0,54095272339802;2,34588153810964;0,00711142550928117;1
"SNED1";0,622582143442672;0,623378319004585;3,49205562299475;0,00760592101337664;1
"RBP7";-0,667159991314351;-0,667657085494709;3,97867236985685;0,00762419696628855;1
"MX1";0,869617602768446;0,86969726868402;10,5237771538255;0,00777342874287389;1
"NMNAT1";-0,489239277597444;-0,489830508928425;3,5299274028162;0,00793999549153713;1
"OAS3";0,929735688282082;0,929943233688867;9,3231771581023;0,00809040709072504;1
"C1QTNF6";0,592654707565843;0,593925398683278;2,39609839343926;0,00841180968597116;1
"HMGA1";0,65022851538699;0,650552493242956;5,5581794826875;0,00850096523363428;1
"OR2Z1";-2,21441492305115;-2,30678262349008;-1,0758230753049;0,00853669755305092;1
"ATP5I";-0,625875918152698;-0,626154301252846;4,8335549540526;0,00859202148159469;1
