"genes";"logFC";"unshrunk.logFC";"logCPM";"PValue";"FDR"
"IFI27";5,42573451686541;5,4351759115727;6,51524477461756;4,72435831422612e-22;6,69110868043845e-18
"LY6E";1,85882216196412;1,85902203159757;8,85286117487142;4,47805310962276e-15;3,17113330957936e-11
"IFI44L";2,38859457215863;2,38967847080783;7,94580311071104;8,41967657241234e-12;3,97492930983586e-08
"RSAD2";2,53420552640725;2,53475371918331;9,89463383443035;2,73718184107333e-11;8,12232419604944e-08
"IFI44";1,95669715576153;1,95710688345133;8,48275829274048;2,86744481961782e-11;8,12232419604944e-08
"USP18";1,86847001719861;1,87197292715765;6,57450855522887;6,23371175645848e-11;1,47146766011202e-07
"CMPK2";1,98775460893495;1,98854371060396;7,94487766056457;1,82877899212984e-10;3,70014240936213e-07
"OAS3";1,92618447443312;1,9264794676738;9,3231771581023;2,46868102247031e-10;4,37049116515587e-07
"SIGLEC1";2,58360526454256;2,61273419919627;3,26994118584996;4,749750689526e-10;7,47452433508409e-07
"OAS2";1,4509593524589;1,45118581909916;8,5521952731182;1,54249473692928e-09;2,18463529591293e-06
"ISG15";1,92838429647494;1,92860647619815;10,1751532454101;2,20900904285877e-09;2,84419955218261e-06
"MX1";1,63355506834456;1,63366638401885;10,5237771538255;7,33290441860295e-09;8,65466044005613e-06
"IFIT1";1,84695189972558;1,84716339521165;9,52465137466501;1,00015337901038e-08;1,08962863899415e-05
"OAS1";1,36799958685338;1,36815044315986;9,13094268206993;3,90907756342078e-08;3,95459039505203e-05
"IFI6";1,5275118853304;1,52761356834204;10,6530056894411;1,75729145137676e-07;0,000165923458838994
"AGRN";1,4263394833055;1,4341634323427;3,39651820424101;7,00460477662876e-07;0,000620038859071207
"XAF1";1,19256453143788;1,19285963622426;7,62369990106853;1,28400519386974e-06;0,00106972738592807
"IFIT3";1,50377413686439;1,50401513612106;9,73182960475254;1,65018460983291e-06;0,0012984202571702
"HERC5";1,3651806644126;1,36554920815016;8,91268404839224;1,86151826488955e-06;0,00138761490450688
"CCL2";2,05406284462094;2,08760103279405;4,46316687893921;2,48148429699389e-06;0,00175726310491623
"EPSTI1";1,34385191603826;1,34417116396411;7,7857560201507;2,9003439125006e-06;0,00195607480155934
"SDC1";2,71790793195678;2,88526902359604;-0,978903175974241;5,5707439188427e-06;0,00358629300557132
"CCL7";-2,14024322791241;-2,63198809336325;-1,31671318987539;7,38013025554691e-06;0,00454455586127439
"GNAQ";-0,670337767510193;-0,670413732799155;6,750156580075;1,5625699625657e-05;0,00922111599159084
"IGLL5";1,6864170712081;1,6865982996561;7,03932793232479;2,00196200632992e-05;0,0113415151582603
"OASL";1,11909043299832;1,11996352985632;7,07264774644466;3,51087789623687e-05;0,0191248321709242
"NR4A2";-0,859188502050213;-0,86267326033431;1,51013282445102;5,38438527033525e-05;0,0282440920680586
"HERC6";0,787461328678432;0,788360649833889;5,33521637198185;0,00019515072788798;0,098711419967052
"CPQ";-0,637333268662095;-0,637448145102189;6,16276675474701;0,000206671672311717;0,0998466141539397
"TBC1D15";-0,986105712174045;-0,992742599222123;0,924989033930007;0,0002114946285828;0,0998466141539397
"S100A12";-1,04845924702428;-1,04852883846307;7,83461716667883;0,000234681177721857;0,107219016776602
"SULT1B1";-0,765869795214857;-0,766046067900658;5,70879978788518;0,000253871343304785;0,112361869850802
"DDX60";0,7657793585768;0,76604324598744;6,95282051981627;0,000266257788405885;0,114273001733107
"LAPTM4A";-0,521077411465605;-0,521129334022223;7,21650739211738;0,000292288478976828;0,121755344933789
"PLBD1";-0,727872071642682;-0,727922912679101;7,53876420208011;0,000359529875953158;0,145486332374988
"DHRS7";-0,607030081609662;-0,607231646662346;5,06176962239114;0,000430202407571852;0,169248797178893
"TICRR";1,5124906087666;1,56859372200556;-0,668678763717617;0,000481665849657287;0,184373876451247
"CCL8";2,3128484810829;2,47731013046665;3,34038623966948;0,00052560958979709;0,1959002268499
"MCM10";1,09277821768401;1,1015185933836;1,01675806911637;0,000568994270728359;0,200041281914903
"AREG";-1,60285751532032;-1,66819425340416;-1,03748656913216;0,000571076508168492;0,200041281914903
"TXNDC5";1,10960226747665;1,10976600379853;6,41809314460228;0,000579624899444977;0,200041281914903
"IFIT2";0,938548701098151;0,938584928326589;11,16525437443;0,000593217103751036;0,200041281914903
"RALB";-0,709514616598147;-0,709556031230307;8,04921003072644;0,000661272130613456;0,217804585718102
"RBP7";-0,738126687310118;-0,73870854940902;3,97867236985685;0,000744602315082424;0,237306205538981
"VMO1";-1,45885924706865;-1,48816622346895;-0,170182727659917;0,000760867961083556;0,237306205538981
"HLA-G";3,32406352840305;3,39432076491616;0,589371011257489;0,000770746695953763;0,237306205538981
"IGSF6";-0,692268008438808;-0,692313182127676;7,55422215416242;0,000832239700574125;0,25078746551556
"CXCL10";1,34483732139092;1,35076598558087;5,96122543056227;0,000868488317065803;0,256258334054229
"CXCL16";-0,688745291874518;-0,689061717034073;4,71894643227272;0,000994349420613173;0,278188108876945
"MYBL2";0,94881237389921;0,949048647389864;5,66494910667159;0,00101825143882813;0,278188108876945
"LAMP2";-0,60062242338296;-0,600636830648786;9,21906455198348;0,00103708280986644;0,278188108876945
"SOD2";-0,719900807138981;-0,719903864327091;11,4619845916273;0,00110281263859499;0,278188108876945
"S100A9";-0,815432209441528;-0,815447627253689;9,35458762871866;0,00110514016722625;0,278188108876945
"CDT1";0,895340556842584;0,900447588109521;1,37980103945407;0,00110537923666702;0,278188108876945
"LST1";-0,69783288015453;-0,697873797192098;7,81294290148446;0,00110608383587368;0,278188108876945
"TMEM163";-1,18480612104734;-1,21669280219704;-0,738165478929438;0,00111173886818049;0,278188108876945
"ZFP106";-0,592093154601979;-0,592197151776458;6,3671230275128;0,00111958781373903;0,278188108876945
"HIST1H2AL";0,86521267267647;0,866646916323572;3,06518889560859;0,00117474904353662;0,282310448736298
"PLEKHG4";0,705218539197345;0,707540116050252;2,10271186208389;0,0011760443744575;0,282310448736298
"DYRK4";1,70793556155292;1,72001024048178;1,40077373159865;0,00124679618249542;0,294306238878043
"RAB7A";-0,504950618226894;-0,504970338695562;8,43591016866383;0,00127595713434988;0,296252145799956
"SNED1";0,671983976647033;0,672823770634556;3,49205562299475;0,00131208544537697;0,299726873594741
"BIRC5";1,04434493070132;1,05011250588302;1,34300263542903;0,00143877362204219;0,320349771704578
"IL1R2";-0,748931527557884;-0,749067927330419;6,01544241551807;0,0014658965994391;0,320349771704578
"AGSK1";0,757276109375227;0,758293669585278;3,4192414653288;0,00147022065669686;0,320349771704578
"CHPF";0,714193078452845;0,715820352125743;2,51150656627027;0,00150799503186229;0,323602024791903
"TMEM59";-0,484851581006372;-0,484909343943759;6,79945842767092;0,00158486969132474;0,331662614759909
"GEMIN8P4";-1,47811534156186;-1,52173854307518;-0,749266511677038;0,00159239269954627;0,331662614759909
"FOXM1";0,903780788784644;0,911114257648145;0,953514278634469;0,00167658613245202;0,344137527448087
"TONSL";0,756018497306769;0,760162009872852;1,47662026091385;0,00184361705113404;0,373016404217305
"HIST1H2AM";0,618773837149302;0,618971494923734;5,48381357494781;0,00202304471741373;0,39882431578779
"GDPD5";0,614081020960053;0,614955075723968;3,33641973566305;0,00204937537675267;0,39882431578779
"FAM114A1";-0,760780873735019;-0,768809431368325;0,549184631448523;0,00205565028966382;0,39882431578779
"DOT1L";0,534194329335728;0,534615855318385;4,11506829405338;0,00213632882003426;0,408876014569529
"TAS2R39";-1,04319947609996;-1,05089395797451;1,0217956782299;0,00231672314319938;0,435110372447531
"B4GALT5";-0,660628201908926;-0,660733409610465;6,57482119834101;0,00233484348697397;0,435110372447531
"DAAM2";-1,18153597854443;-1,18661806184606;1,6747155763785;0,00242680359767505;0,44475136074919
